Results will be saved to results.out
Random restart 1 of 5

FOR 2
66 2145
2 5 0.048587 0.048587 0.048587 0.313262
2 6 1.313262 1.313262 1.313262 0.313262
2 7 0.048587 0.048587 0.048587 0.313262
2 8 0.313262 0.313262 0.313262 1.313262
2 9 0.048587 0.048587 0.048587 0.313262
2 10 0.313262 0.313262 0.313262 1.313262
2 11 0.313262 0.313262 0.313262 1.313262
2 12 0.048587 0.048587 0.048587 0.313262
2 13 0.313262 0.313262 0.313262 1.313262
2 14 0.313262 0.313262 0.313262 1.313262
2 15 0.048587 0.048587 0.048587 0.313262
2 16 0.048587 0.048587 0.048587 0.313262
2 17 0.048587 0.048587 0.048587 0.313262
2 18 1.313262 1.313262 1.313262 0.313262
2 19 1.313262 1.313262 1.313262 0.313262
2 20 0.048587 0.048587 0.048587 0.313262
2 21 0.018150 0.018150 0.018150 0.126928
2 22 0.313262 0.313262 0.313262 1.313262
2 23 0.693147 0.693147 0.693147 2.126928
2 24 0.313262 0.313262 0.313262 1.313262
2 25 0.048587 0.048587 0.048587 0.313262
2 26 0.126928 0.126928 0.126928 2.126928
2 27 3.048587 3.048587 3.048587 1.313262
2 28 0.048587 0.048587 0.048587 0.313262
2 29 0.048587 0.048587 0.048587 0.313262
2 30 0.313262 0.313262 0.313262 1.313262
2 31 0.313262 0.313262 0.313262 1.313262
2 32 0.313262 0.313262 0.313262 1.313262
2 33 0.313262 0.313262 0.313262 1.313262
2 34 0.313262 0.313262 0.313262 1.313262
2 35 0.048587 0.048587 0.048587 0.313262
2 36 0.313262 0.313262 0.313262 1.313262
2 37 0.048587 0.048587 0.048587 0.313262
2 38 0.048587 0.048587 0.048587 0.313262
2 39 0.313262 0.313262 0.313262 1.313262
2 40 0.693147 0.693147 0.693147 2.126928
2 41 0.313262 0.313262 0.313262 1.313262
2 42 0.313262 0.313262 0.313262 1.313262
2 43 0.048587 0.048587 0.048587 0.313262
2 44 0.313262 0.313262 0.313262 1.313262
2 45 0.006715 0.006715 0.006715 0.313262
2 46 0.313262 0.313262 0.313262 1.313262
2 47 0.313262 0.313262 0.313262 1.313262
2 48 0.048587 0.048587 0.048587 0.313262
2 49 0.048587 0.048587 0.048587 0.313262
2 50 0.313262 0.313262 0.313262 1.313262
2 51 0.048587 0.048587 0.048587 0.313262
2 52 0.313262 0.313262 0.313262 1.313262
2 53 0.313262 0.313262 0.313262 1.313262
2 54 1.313262 1.313262 1.313262 0.313262
2 55 3.048587 3.048587 3.048587 1.313262
2 56 0.313262 0.313262 0.313262 1.313262
2 57 0.048587 0.048587 0.048587 0.313262
2 58 0.048587 0.048587 0.048587 0.313262
2 59 0.048587 0.048587 0.048587 0.313262
2 60 0.313262 0.313262 0.313262 1.313262
2 61 0.313262 0.313262 0.313262 1.313262
2 62 0.313262 0.313262 0.313262 1.313262
2 63 0.048587 0.048587 0.048587 0.313262
2 64 0.018150 0.018150 0.018150 0.126928
2 65 1.313262 1.313262 1.313262 0.313262
3 4 0.018150 0.018150 0.018150 0.126928
3 5 0.048587 0.048587 0.048587 0.313262
3 6 0.313262 0.313262 0.313262 1.313262
3 7 0.048587 0.048587 0.048587 0.313262
3 8 0.313262 0.313262 0.313262 1.313262
3 9 0.048587 0.048587 0.048587 0.313262
3 10 0.313262 0.313262 0.313262 1.313262
3 11 0.313262 0.313262 0.313262 1.313262
3 12 0.048587 0.048587 0.048587 0.313262
3 13 0.313262 0.313262 0.313262 1.313262
3 14 0.313262 0.313262 0.313262 1.313262
3 15 0.048587 0.048587 0.048587 0.313262
3 16 0.048587 0.048587 0.048587 0.313262
3 17 0.048587 0.048587 0.048587 0.313262
3 18 0.313262 0.313262 0.313262 1.313262
3 19 0.313262 0.313262 0.313262 1.313262
3 20 0.048587 0.048587 0.048587 0.313262
3 21 4.018150 4.018150 4.018150 2.126928
3 22 0.313262 0.313262 0.313262 1.313262
3 23 0.693147 0.693147 0.693147 0.126928
3 24 0.313262 0.313262 0.313262 1.313262
3 25 0.048587 0.048587 0.048587 0.313262
3 26 0.126928 0.126928 0.126928 2.126928
3 27 0.048587 0.048587 0.048587 0.313262
3 28 0.048587 0.048587 0.048587 0.313262
3 29 0.048587 0.048587 0.048587 0.313262
3 30 0.313262 0.313262 0.313262 1.313262
3 31 0.313262 0.313262 0.313262 1.313262
3 32 0.313262 0.313262 0.313262 1.313262
3 33 0.313262 0.313262 0.313262 1.313262
3 34 0.313262 0.313262 0.313262 1.313262
3 35 0.048587 0.048587 0.048587 0.313262
3 36 0.313262 0.313262 0.313262 1.313262
3 37 0.048587 0.048587 0.048587 0.313262
3 38 0.048587 0.048587 0.048587 0.313262
3 39 0.313262 0.313262 0.313262 1.313262
3 40 0.693147 0.693147 0.693147 0.126928
3 41 0.313262 0.313262 0.313262 1.313262
3 42 0.313262 0.313262 0.313262 1.313262
3 43 0.048587 0.048587 0.048587 0.313262
3 44 0.313262 0.313262 0.313262 1.313262
3 45 0.006715 0.006715 0.006715 0.313262
3 46 0.313262 0.313262 0.313262 1.313262
3 47 0.313262 0.313262 0.313262 1.313262
3 48 0.048587 0.048587 0.048587 0.313262
3 49 0.048587 0.048587 0.048587 0.313262
3 50 0.313262 0.313262 0.313262 1.313262
3 51 0.048587 0.048587 0.048587 0.313262
3 52 0.313262 0.313262 0.313262 1.313262
3 53 0.313262 0.313262 0.313262 1.313262
3 54 0.313262 0.313262 0.313262 1.313262
3 55 0.048587 0.048587 0.048587 0.313262
3 56 0.313262 0.313262 0.313262 1.313262
3 57 0.048587 0.048587 0.048587 0.313262
3 58 0.048587 0.048587 0.048587 0.313262
3 59 0.048587 0.048587 0.048587 0.313262
3 60 0.313262 0.313262 0.313262 1.313262
3 61 0.313262 0.313262 0.313262 1.313262
3 62 0.313262 0.313262 0.313262 1.313262
3 63 0.048587 0.048587 0.048587 0.313262
3 64 4.018150 4.018150 4.018150 2.126928
3 65 0.313262 0.313262 0.313262 1.313262
4 5 0.018150 0.018150 0.018150 0.126928
4 6 0.018150 0.018150 0.018150 0.126928
4 7 0.018150 0.018150 0.018150 0.126928
4 8 0.018150 0.018150 0.018150 0.126928
4 9 0.018150 0.018150 0.018150 0.126928
4 10 0.018150 0.018150 0.018150 0.126928
4 11 0.018150 0.018150 0.018150 0.126928
4 12 0.018150 0.018150 0.018150 0.126928
4 13 0.018150 0.018150 0.018150 0.126928
4 14 0.018150 0.018150 0.018150 0.126928
4 15 0.018150 0.018150 0.018150 0.126928
4 16 0.018150 0.018150 0.018150 0.126928
4 17 0.018150 0.018150 0.018150 0.126928
4 18 0.018150 0.018150 0.018150 0.126928
4 19 0.018150 0.018150 0.018150 0.126928
4 20 0.018150 0.018150 0.018150 0.126928
4 21 0.006715 0.006715 0.006715 0.048587
4 22 0.018150 0.018150 0.018150 0.126928
4 23 0.006715 0.006715 0.006715 0.048587
4 24 0.018150 0.018150 0.018150 0.126928
4 25 0.018150 0.018150 0.018150 0.126928
4 26 0.006715 0.006715 0.006715 0.313262
4 27 0.018150 0.018150 0.018150 0.126928
4 28 0.018150 0.018150 0.018150 0.126928
4 29 0.018150 0.018150 0.018150 0.126928
4 30 0.018150 0.018150 0.018150 0.126928
4 31 0.018150 0.018150 0.018150 0.126928
4 32 0.018150 0.018150 0.018150 0.126928
4 33 0.018150 0.018150 0.018150 0.126928
4 34 0.018150 0.018150 0.018150 0.126928
4 35 0.018150 0.018150 0.018150 0.126928
4 36 0.018150 0.018150 0.018150 0.126928
4 37 0.018150 0.018150 0.018150 0.126928
4 38 0.018150 0.018150 0.018150 0.126928
4 39 0.018150 0.018150 0.018150 0.126928
4 40 0.006715 0.006715 0.006715 0.048587
4 41 0.018150 0.018150 0.018150 0.126928
4 42 0.018150 0.018150 0.018150 0.126928
4 43 0.018150 0.018150 0.018150 0.126928
4 44 0.018150 0.018150 0.018150 0.126928
4 45 4.018150 4.018150 4.018150 0.693147
4 46 0.018150 0.018150 0.018150 0.126928
4 47 0.018150 0.018150 0.018150 0.126928
4 48 0.018150 0.018150 0.018150 0.126928
4 49 0.018150 0.018150 0.018150 0.126928
4 50 0.018150 0.018150 0.018150 0.126928
4 51 0.018150 0.018150 0.018150 0.126928
4 52 0.018150 0.018150 0.018150 0.126928
4 53 0.018150 0.018150 0.018150 0.126928
4 54 0.018150 0.018150 0.018150 0.126928
4 55 0.018150 0.018150 0.018150 0.126928
4 56 0.018150 0.018150 0.018150 0.126928
4 57 0.018150 0.018150 0.018150 0.126928
4 58 0.018150 0.018150 0.018150 0.126928
4 59 0.018150 0.018150 0.018150 0.126928
4 60 0.018150 0.018150 0.018150 0.126928
4 61 0.018150 0.018150 0.018150 0.126928
4 62 0.018150 0.018150 0.018150 0.126928
4 63 0.018150 0.018150 0.018150 0.126928
4 64 0.006715 0.006715 0.006715 0.048587
4 65 0.018150 0.018150 0.018150 0.126928
5 6 0.048587 0.048587 0.048587 0.313262
5 7 0.048587 0.048587 0.048587 0.313262
5 8 0.048587 0.048587 0.048587 0.313262
5 9 0.048587 0.048587 0.048587 0.313262
5 10 0.048587 0.048587 0.048587 0.313262
5 11 0.048587 0.048587 0.048587 0.313262
5 12 0.048587 0.048587 0.048587 0.313262
5 13 0.048587 0.048587 0.048587 0.313262
5 14 0.048587 0.048587 0.048587 0.313262
5 15 0.048587 0.048587 0.048587 0.313262
5 16 0.048587 0.048587 0.048587 0.313262
5 17 0.048587 0.048587 0.048587 0.313262
5 18 0.048587 0.048587 0.048587 0.313262
5 19 0.048587 0.048587 0.048587 0.313262
5 20 0.048587 0.048587 0.048587 0.313262
5 21 0.018150 0.018150 0.018150 0.126928
5 22 0.048587 0.048587 0.048587 0.313262
5 23 0.018150 0.018150 0.018150 0.126928
5 24 0.048587 0.048587 0.048587 0.313262
5 25 0.048587 0.048587 0.048587 0.313262
5 26 0.018150 0.018150 0.018150 0.693147
5 27 0.048587 0.048587 0.048587 0.313262
5 28 0.048587 0.048587 0.048587 0.313262
5 29 0.048587 0.048587 0.048587 0.313262
5 30 0.048587 0.048587 0.048587 0.313262
5 31 0.048587 0.048587 0.048587 0.313262
5 32 0.048587 0.048587 0.048587 0.313262
5 33 0.048587 0.048587 0.048587 0.313262
5 34 0.048587 0.048587 0.048587 0.313262
5 35 0.048587 0.048587 0.048587 0.313262
5 36 0.048587 0.048587 0.048587 0.313262
5 37 0.048587 0.048587 0.048587 0.313262
5 38 0.048587 0.048587 0.048587 0.313262
5 39 0.048587 0.048587 0.048587 0.313262
5 40 0.018150 0.018150 0.018150 0.126928
5 41 0.048587 0.048587 0.048587 0.313262
5 42 0.048587 0.048587 0.048587 0.313262
5 43 0.048587 0.048587 0.048587 0.313262
5 44 0.048587 0.048587 0.048587 0.313262
5 45 0.006715 0.006715 0.006715 0.313262
5 46 0.048587 0.048587 0.048587 0.313262
5 47 0.048587 0.048587 0.048587 0.313262
5 48 0.048587 0.048587 0.048587 0.313262
5 49 0.048587 0.048587 0.048587 0.313262
5 50 0.048587 0.048587 0.048587 0.313262
5 51 0.048587 0.048587 0.048587 0.313262
5 52 0.048587 0.048587 0.048587 0.313262
5 53 0.048587 0.048587 0.048587 0.313262
5 54 0.048587 0.048587 0.048587 0.313262
5 55 0.048587 0.048587 0.048587 0.313262
5 56 0.048587 0.048587 0.048587 0.313262
5 57 0.048587 0.048587 0.048587 0.313262
5 58 0.048587 0.048587 0.048587 0.313262
5 59 0.048587 0.048587 0.048587 0.313262
5 60 0.048587 0.048587 0.048587 0.313262
5 61 0.048587 0.048587 0.048587 0.313262
5 62 0.048587 0.048587 0.048587 0.313262
5 63 0.048587 0.048587 0.048587 0.313262
5 64 0.018150 0.018150 0.018150 0.126928
5 65 0.048587 0.048587 0.048587 0.313262
6 7 0.313262 0.313262 0.313262 1.313262
6 8 0.313262 0.313262 0.313262 1.313262
6 9 0.048587 0.048587 0.048587 0.313262
6 10 0.313262 0.313262 0.313262 1.313262
6 11 1.313262 1.313262 1.313262 3.048587
6 12 0.313262 0.313262 0.313262 1.313262
6 13 0.313262 0.313262 0.313262 1.313262
6 14 0.313262 0.313262 0.313262 1.313262
6 15 0.048587 0.048587 0.048587 0.313262
6 16 1.313262 1.313262 1.313262 0.313262
6 17 0.048587 0.048587 0.048587 0.313262
6 18 0.313262 0.313262 0.313262 0.048587
6 19 1.313262 1.313262 1.313262 0.313262
6 20 0.313262 0.313262 0.313262 1.313262
6 21 0.018150 0.018150 0.018150 0.126928
6 22 1.313262 1.313262 1.313262 3.048587
6 23 0.693147 0.693147 0.693147 2.126928
6 24 1.313262 1.313262 1.313262 3.048587
6 25 0.048587 0.048587 0.048587 0.313262
6 26 0.693147 0.693147 0.693147 4.018150
6 27 3.048587 3.048587 3.048587 1.313262
6 28 0.313262 0.313262 0.313262 1.313262
6 29 3.048587 3.048587 3.048587 1.313262
6 30 1.313262 1.313262 1.313262 3.048587
6 31 0.313262 0.313262 0.313262 1.313262
6 32 1.313262 1.313262 1.313262 3.048587
6 33 1.313262 1.313262 1.313262 3.048587
6 34 0.313262 0.313262 0.313262 1.313262
6 35 3.048587 3.048587 3.048587 1.313262
6 36 1.313262 1.313262 1.313262 3.048587
6 37 0.048587 0.048587 0.048587 0.313262
6 38 0.048587 0.048587 0.048587 0.313262
6 39 1.313262 1.313262 1.313262 3.048587
6 40 0.693147 0.693147 0.693147 2.126928
6 41 1.313262 1.313262 1.313262 3.048587
6 42 0.313262 0.313262 0.313262 1.313262
6 43 0.048587 0.048587 0.048587 0.313262
6 44 0.313262 0.313262 0.313262 0.048587
6 45 0.006715 0.006715 0.006715 0.313262
6 46 0.313262 0.313262 0.313262 0.048587
6 47 1.313262 1.313262 1.313262 3.048587
6 48 0.048587 0.048587 0.048587 0.313262
6 49 0.048587 0.048587 0.048587 0.313262
6 50 1.313262 1.313262 1.313262 3.048587
6 51 0.313262 0.313262 0.313262 1.313262
6 52 0.313262 0.313262 0.313262 1.313262
6 53 0.313262 0.313262 0.313262 1.313262
6 54 0.313262 0.313262 0.313262 0.048587
6 55 1.313262 1.313262 1.313262 0.313262
6 56 1.313262 1.313262 1.313262 3.048587
6 57 0.048587 0.048587 0.048587 0.313262
6 58 0.313262 0.313262 0.313262 1.313262
6 59 0.313262 0.313262 0.313262 1.313262
6 60 0.313262 0.313262 0.313262 1.313262
6 61 0.313262 0.313262 0.313262 1.313262
6 62 1.313262 1.313262 1.313262 3.048587
6 63 0.048587 0.048587 0.048587 0.313262
